Comment,Designator,Footprint,number,NEL P/N, MANUFACTURER, Manufacturer_Name, Manufacturer_Part_Number,Supplier part number,Supplier,Annotation
IM69D130,"A1,A2,A3,A4",Sensor_Audio:Infineon_PG-LLGA-5-1,4,,Infineon,IM69D130V01XTSA1,IM69D130V01XTSA1,726-IM69D130V01XTSA1,Mouser,
47pF,"C1,C2,C10,C11",Capacitor_SMD:C_0805_2012Metric,4,0805-47pF-50V,,,0805-47pF-50V,,PCBTrain,PCB Train free component stock
1µF,"C17,C18",Capacitor_SMD:C_0805_2012Metric,2,0805-1uF-25V,,,0805-1uF-25V,,PCBTrain,PCB Train free component stock
4.7µF,C3,Capacitor_SMD:C_0805_2012Metric,1,0805-4.7uF-16V,,,0805-4.7uF-16V,,PCBTrain,PCB Train free component stock
100nF,"C4,C5,C6,C7,C8,C12,C13,C14,C15,C16",Capacitor_SMD:C_0805_2012Metric,10,0805-100nF-50V,,,0805-100nF-50V,,PCBTrain,PCB Train free component stock
10µF,C9,Capacitor_SMD:C_0805_2012Metric,1,0805-10uF-16V,,,0805-10uF-16V,,PCBTrain,PCB Train free component stock
APHF1608LSEEQBDZGKC,D1,APHF1608LSEEQBDZGKC-2:LED_APHF1608LSEEQBDZGKC,1,,Kingbright,,APHF1608LSEEQBDZGKC,604-APHF1608LQBDZGKC,Mouser,
ADAU7002ACBZ-R7,"IC1,IC5",LIB_ADAU7002ACBZ-R7-3:BGA8C40P2X4_76X156X56,2,,Analog Devices Inc.,Analog Devices,ADAU7002ACBZ-R7,584-ADAU7002ACBZ-R7,Mouser,
TXU0304PWR,"IC2,IC4",LIB_TXU0304PWR:SOP65P640X120-14N,2,,,Texas Instruments,TXU0304PWR,595-TXU0304PWR,Mouser,
TPS62842DGRR,IC3,SOP65P490X110-9N,1,,,Texas Instruments,TPS62842DGRR,595-TPS62842DGRR,Mouser,
LP5907MFX-1.8_NOPB,IC6,LIB_LP5907MFX-1:SOT95P280X145-5N,1,,Texas Instruments,Texas Instruments,LP5907MFX-1.8/NOPB,595-LP5907MFX-1.8NPB,Mouser,
DFE201612E-2R2M=P2,L1,1286ASH1R0MP2,1,,,Murata Electronics,DFE201612E-2R2M=P2,81-DFE201612E-2R2MP2,Mouser,
NTGS3136PT1G,Q1,LIB_NTGS3136PT1G:SOT95P275X110-6N,1,,onsemi,onsemi,NTGS3136PT1G,NTGS3136PT1GOSTR-ND,Digikey,
BSS138,Q2,Package_TO_SOT_SMD:SOT-23,1,,Diodes Incorporated,BSS138-7-F,BSS138-7-F,621-BSS138-7-F,Mouser,
BSS84,Q3,Package_TO_SOT_SMD:SOT-23,1,,Diodes Incorporated,BSS84-7-F,BSS84-7-F,621-BSS84-F,Mouser,
1M,"R1,R14",Resistor_SMD:R_0805_2012Metric,2,0805-1M,,,0805-1M,,PCBTrain,PCB Train free component stock
330R,"R15,R17",Resistor_SMD:R_0805_2012Metric,2,0805-330R,,,0805-330R,,PCBTrain,PCB Train free component stock
750R,R16,Resistor_SMD:R_0805_2012Metric,1,0805-750R,,,0805-750R,,PCBTrain,PCB Train free component stock
105K,R2,Resistor_SMD:R_0805_2012Metric,1,,Vishay / Dale,CRCW0805105KFKEAC,CRCW0805105KFKEAC,71-CRCW0805105KFKEAC,Mouser,
100K,"R3,R4,R9,R10,R11,R18,R19",Resistor_SMD:R_0805_2012Metric,7,0805-100K,,,0805-100K,,PCBTrain,PCB Train free component stock
267K,R5,Resistor_SMD:R_0805_2012Metric,1,,Vishay / Dale,CRCW0805267KFKEA,CRCW0805267KFKEA,71-CRCW0805267KFKEA,Mouser,
100R,"R6,R8,R12,R13",Resistor_SMD:R_0805_2012Metric,4,0805-100R,,,0805-100R,,PCBTrain,PCB Train free component stock
PTS815_SJM_250_SMTR_LFS,"S1,S2",PTS815_SJM_250_SMTR_LFS:PTS815SJM250SMTRLFS,2,,C&K,C & K COMPONENTS,PTS815 SJM 250 SMTR LFS,611-PTS815SJM250SMTR,Mouser,
TPL5110,U1,TPL5110DDCR:SOT95P280X110-6N,1,,Texas Instruments,Texas Instruments,TPL5110DDCR,296-47225-1-ND,DIgikey,